lat,lon,sat
52,6,146.6151
53,6,121.0962
54,6,95.55419
55,6,67.2822
56,6,80.17156
57,6,98.43493
58,6,119.5633
59,6,-9999
60,6,-9999
61,6,-9999
62,6,-9999
63,6,-9999
64,6,-9999
65,6,-9999
66,6,-9999
67,6,-9999
68,6,-9999
69,6,-9999
70,6,-9999
71,6,-9999
72,6,-9999
73,6,-9999
74,6,-9999
75,6,-9999
76,6,-9999
77,6,-9999
78,6,-9999
79,6,-9999
80,6,-9999
81,6,-9999
82,6,-9999
83,6,-9999
84,6,-9999
85,6,-9999
86,6,-9999
87,6,-9999
88,6,-9999
89,6,-9999
90,6,-9999
91,6,-9999
92,6,-9999
93,6,-9999
94,6,-9999
95,6,-9999
96,6,-9999
97,6,-9999
98,6,-9999
0,7,-9999
1,7,-9999
2,7,-9999
3,7,-9999
4,7,-9999
5,7,-9999
6,7,-9999
7,7,-9999
8,7,-9999
9,7,-9999
10,7,-9999
11,7,-9999
12,7,-9999
13,7,-9999
14,7,-9999
15,7,-9999
16,7,-9999
17,7,-9999
18,7,-9999
19,7,-9999
20,7,179.2419
21,7,183.6058
22,7,187.869
23,7,189.2688
24,7,190.2467
25,7,196.2733
26,7,191.0398
27,7,147.6803
28,7,89.90145
29,7,80.63934
30,7,102.7492
31,7,127.2072
32,7,152.7509
33,7,158.8873
34,7,115.079
35,7,94.6179
36,7,73.74664
37,7,74.49063
38,7,83.45693
39,7,75.59968
40,7,30.96263
41,7,151.5235
42,7,87.10399
43,7,121.2304
44,7,150.8085
45,7,145.2685
46,7,150.0602
47,7,135.9241
48,7,124.877
49,7,154.1667
50,7,178.8216
51,7,143.0386
52,7,140.1315
53,7,110.4063
54,7,91.30528
55,7,84.08126
56,7,84.38574
57,7,97.50688
58,7,114.1201
59,7,153.6655
60,7,197.2744
61,7,253.5573
62,7,247.8497
63,7,201.2885
64,7,-9999
65,7,199.7771
66,7,181.3696
67,7,127.2029
68,7,-9999
69,7,-9999
70,7,-9999
71,7,-9999
72,7,-9999
73,7,-9999
74,7,-9999
75,7,-9999
76,7,-9999
77,7,-9999
78,7,-9999
79,7,-9999
80,7,-9999
81,7,-9999
82,7,-9999
83,7,-9999
84,7,-9999
85,7,-9999
86,7,-9999
87,7,-9999
88,7,-9999
89,7,-9999
90,7,-9999
91,7,-9999
92,7,-9999
93,7,-9999
94,7,-9999
95,7,-9999
96,7,-9999
97,7,-9999
98,7,-9999
0,8,-9999
1,8,-9999
2,8,-9999
3,8,-9999
4,8,-9999
5,8,-9999
6,8,-9999
7,8,-9999
8,8,-9999
9,8,-9999
10,8,-9999
11,8,-9999
12,8,-9999
13,8,-9999
14,8,-9999
15,8,-9999
16,8,-9999
17,8,-9999
18,8,-9999
19,8,-9999
20,8,177.777
21,8,182.501
22,8,187.8745
23,8,189.1384
24,8,185.2209
25,8,182.4019
26,8,177.4159
27,8,150.0112
28,8,109.825
29,8,106.3204
30,8,109.4966
31,8,125.643
32,8,148.438
33,8,167.6196
34,8,99.89562
35,8,93.21682
36,8,80.65863
37,8,80.2941
38,8,87.92747
39,8,85.71055
40,8,75.46718
41,8,123.2436
42,8,99.24312
43,8,126.3762
44,8,154.9455
