Var 4,Var 8,Var 12,Var 16,Var 20,Var 24,Var 28,Var 32,Var 36,Var 40,Var 44,Var 48,Var 52,Var 56,Var 60,Var 64,Var 68,Var 72,Var 76,Var 80,Var 84,Var 88,Var 92,Var 96,Var 100,Var 104,Var 112,Var 120,Var 128,Var 136,Var 144,Var 152,Var 160,Var 168,Var 176,Var 184,Var 192,Var 200,Var 208,Var 216,Var 224,Var 232,Var 240,Var 248,Var 256,Var 264,Var 272,Var 280,Var 288,Var 296,Var 304,Var 312,Var 320,Var 328,Var 336,Var 344,Var 352,Var 360,Var 368,Var 376,Var 384,Var 392,Var 400,Var 408,Var 416,Var 424,Var 432,Var 440,Var 448,Var 456,Var 464,Var 472,Var 480,Var 488,Var 496,Var 504,Var 508,Var 512,Var 516,Var 520,Var 524,Var 528,Var 532,Var 536,Var 540,Var 544,Var 548,Var 552,Var 556,Var 560,Var 564,Var 568,Var 572,Var 576,Var 580,Var 584,Var 588,Var 592,Var 596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,165.2058,167.9416,170.985,173.7688,179.2494,192.1748,189.911,151.1099,125.6119,114.0227,112.843,120.1674,124.436,114.3875,55.01275,62.14929,61.8896,86.19242,105.5981,126.5305,137.9391,124.9492,145.5074,142.0249,142.0895,144.7457,146.955,143.3817,127.2333,170.9863,221.153,184.0468,179.0218,149.4684,94.58112,99.50549,96.93411,90.67262,59.74285,125.7925,197.8321,205.8675,226.2412,224.0892,220.2743,219.8017,206.6517,184.7142,169.1644,160.1825,142.1275,135.5539,160.1588,186.1051,177.6427,206.9469,227.8052,225.8607,226.2713,198.3451,170.7261,205.2432,218.2747,222.1984,225.1586,221.9111,215.6754,210.7279,208.5358,200.3102,210.3057,221.1202,228.1591,232.2651,229.1256,221.073,226.938,242.0991,254.8458
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,158.4998,159.8871,162.073,165.087,168.155,173.9257,182.3504,176.4753,141.8923,117.1063,111.132,111.8832,115.0526,126.6886,131.6599,37.6693,54.82303,73.5183,95.00082,117.0261,140.7515,160.5315,141.8731,148.9097,144.1547,143.7802,145.903,152.9264,161.106,160.9299,186.1742,229.007,190.2627,186.5467,153.0287,135.4619,124.9918,100.4309,91.53088,92.80802,113.948,167.5042,195.3852,208.191,222.2666,218.7392,228.731,212.1418,195.784,179.0917,168.3445,140.2833,117.3258,158.5746,184.451,176.5372,196.929,224.4323,230.4596,222.2179,201.6977,184.1425,204.6443,219.3944,229.4766,235.0788,236.0045,235.5106,232.5325,226.143,217.4619,217.8313,216.4247,222.1246,228.8226,224.3024,202.8632,220.7908,257.512,251.9275
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,156.3533,155.9835,157.678,158.7213,160.721,163.6763,165.6363,156.9891,124.3013,97.44464,103.6357,106.8702,115.7418,130.3935,156.2322,72.28453,68.49294,86.80881,104.7084,127.5364,148.0063,174.7528,154.7846,147.3435,147.154,140.6506,149.0369,153.0784,173.0421,183.667,199.6226,215.3059,192.8246,181.7617,164.988,158.3853,145.6037,101.5527,89.03835,108.9083,113.3305,149.6278,186.4601,195.1573,205.4764,203.5063,217.653,205.8999,205.4686,182.0265,171.8031,144.7389,126.0117,155.8731,186.6893,188.8907,213.1097,251.6924,254.5416,231.1419,217.5358,211.8459,218.4922,230.7889,240.7196,247.0745,248.4893,248.6404,247.8196,242.9586,233.9473,222.8565,203.5233,217.0771,232.3866,232.301,235.7437,242.0426,250.8161,248.5958
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,151.2177,150.1085,151.5912,154.8316,157.3849,156.2915,152.0251,140.0173,104.9533,72.77573,95.25748,107.859,112.6357,128.9897,145.2619,99.19003,87.7024,100.2325,120.2068,134.4806,151.4533,166.1356,165.4505,152.1914,148.8248,143.0396,150.2529,136.1844,185.7228,203.7444,214.498,214.5949,197.8478,185.7678,175.9806,166.6838,152.5045,110.4617,89.43477,122.6822,124.7212,138.7101,180.9203,198.1971,197.1339,174.8059,194.3333,199.7165,223.1815,180.843,154.7321,154.1386,138.9442,159.2846,189.5451,183.8529,212.1142,253.5536,257.6812,236.8667,227.717,226.3646,232.6942,244.7317,254.4463,256.5447,257.4793,256.1267,250.0469,251.2903,245.8228,233.5504,224.4616,236.0792,238.788,235.0802,242.3589,245.6789,240.8195,239.8271
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,147.1706,144.7623,146.1974,151.402,154.6915,154.3178,148.0292,129.5546,95.14516,61.24144,87.49547,106.4485,111.3894,126.1002,130.0164,110.7362,103.4175,111.9923,130.715,144.5611,155.6104,162.3714,170.511,156.4129,149.0383,145.9816,159.8691,151.6786,202.1314,220.059,230.913,227.9048,212.2076,197.3096,190.0215,179.0049,166.2782,129.9977,114.1598,134.125,128.2814,128.1705,176.9537,210.7402,200.3455,151.5188,178.3578,201.5612,241.1594,180.2344,140.2588,165.924,154.7588,169.1369,192.5912,194.1763,215.4518,231.9277,239.3031,235.8856,232.6174,234.153,244.7235,257.6268,268.0739,267.5355,269.5106,274.4511,269.856,262.7425,254.5867,244.1752,240.2357,244.5152,243.7477,232.2489,232.9488,234.9628,234.171,233.2494
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,145.5587,142.8938,144.2691,151.6042,157.0914,154.8096,144.3321,117.5104,94.47065,72.77499,93.33216,108.3725,116.1408,123.4469,123.9887,119.5443,117.0923,124.3574,141.0963,150.5746,159.6237,164.3006,159.5889,159.0143,144.9681,138.1974,173.6214,192.5258,219.6166,237.0674,249.7857,241.0143,225.5103,209.7325,198.4997,190.8611,181.6028,150.5292,135.6519,133.9926,124.6755,130.9498,177.5113,242.5313,233.7185,160.6164,173.4657,197.6985,227.7735,187.3434,179.4505,178.866,175.6026,183.4289,200.427,205.443,217.3709,226.5203,231.4684,233.3131,233.6484,237.4021,248.586,259.748,272.7327,271.5873,284.828,285.4014,283.4047,276.6732,263.3172,252.3241,245.4515,246.3292,248.0338,233.8674,229.5654,227.8344,227.4751,227.3131
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,145.4937,144.6916,146.282,150.7693,158.2374,154.8238,138.8035,104.1951,95.22183,91.93948,104.7977,111.4118,116.2742,119.1172,123.849,128.5368,126.0001,129.0052,151.1541,159.9048,158.3153,167.4458,168.993,164.8772,143.5791,132.2749,190.5214,213.2785,227.9172,265.9872,272.5107,253.9681,226.9073,214.5085,212.7728,212.3087,201.3377,177.1187,161.0855,140.2627,115.4731,141.6975,178.7923,246.0901,249.1071,172.1788,173.5126,191.6611,202.3111,191.6084,196.4151,191.1674,194.3244,196.405,207.2505,212.586,220.3822,226.7775,230.0033,230.2214,232.997,236.703,244.1194,252.0088,257.4676,262.0404,279.6826,277.5907,286.3722,285.416,265.0731,250.3779,241.1425,236.1522,232.4432,225.1904,221.2322,220.3587,222.298,222.7382
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,147.6159,144.2723,145.5576,146.7277,149.2562,144.51,127.719,72.67957,89.66734,102.9353,110.398,108.8706,116.4783,118.7967,126.6188,138.0228,135.8439,133.5261,164.3294,176.7138,163.8895,170.5085,191.5124,173.4569,154.3659,152.2104,202.5999,256.6154,233.4834,280.2317,268.4392,249.6323,220.0737,213.5863,220.1571,220.6714,208.6466,187.2552,187.7309,154.6564,131.895,149.6365,178.8477,226.0027,227.5112,184.8912,182.412,186.9824,188.6784,194.4566,194.8115,203.3997,202.1349,206.158,214.3091,219.6437,230.3195,230.7587,230.0436,227.5524,227.047,230.9169,233.0371,240.6409,248.7585,249.8714,260.6961,264.1874,267.3449,265.5124,262.1237,250.453,235.6504,223.1996,211.3338,205.5704,205.673,216.9321,226.4169,221.7052
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,143.9612,140.2852,138.0198,140.7125,142.4144,138.1059,122.2269,33.66424,85.80385,109.966,111.4662,112.9316,112.0446,115.6026,126.6757,148.2541,142.158,136.7498,165.2144,182.1249,160.7616,175.913,208.7665,180.7841,162.4291,164.9185,192.4151,229.8163,223.9941,249.4211,243.4485,232.3983,215.8714,209.4955,235.82,238.1073,212.2199,175.8078,210.3483,166.1834,142.2662,153.8487,178.4176,213.0211,221.5048,201.205,198.7367,190.5307,181.2592,196.8583,199.9284,222.7247,202.1356,213.7541,217.9239,224.5,243.6222,240.8498,234.4852,227.4783,224.2112,215.5023,205.7653,212.3868,235.4405,246.2713,248.7169,245.8705,246.9773,263.9135,255.5052,243.4623,224.963,207.2676,189.7964,179.5807,179.6465,213.3423,237.2036,222.0232
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,133.0837,127.0096,127.6542,136.1798,141.4564,141.661,133.198,71.22468,98.62303,111.9841,119.0477,116.5697,110.4382,114.6662,126.9047,144.8117,142.08,136.272,150.495,164.0116,151.1803,170.5618,196.5876,179.8571,166.3452,168.1425,176.5682,195.4552,202.7878,216.3235,219.9674,207.5115,205.0099,212.8108,251.3164,263.2154,214.3321,129.6191,206.5821,163.6578,146.9161,144.6347,177.2821,223.2059,226.3691,208.3499,218.2213,196.7991,187.2209,200.0444,209.0263,247.5456,251.4252,218.636,219.6187,231.8466,262.9011,254.4005,239.8799,228.601,219.1415,201.6581,172.5246,169.4703,211.0752,233.4915,235.333,222.4971,192.6482,218.8974,237.709,231.8624,216.2805,194.1324,174.9809,169.5277,132.0948,168.5569,211.6602,215.4748
